PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2015,18,b,TOT,.,51590,O,O
USA,1,2015,19,b,0,25,1222,O,O
USA,1,2015,19,b,25,20,2486,O,O
USA,1,2015,19,b,45,20,10253,O,O
USA,1,2015,19,b,65,10,9415,O,O
USA,1,2015,19,b,75,10,12064,O,O
USA,1,2015,19,b,85,+,16318,O,O
USA,1,2015,19,b,TOT,.,51758,O,O
USA,1,2015,20,b,0,25,1258,O,O
USA,1,2015,20,b,25,20,2440,O,O
USA,1,2015,20,b,45,20,10269,O,O
USA,1,2015,20,b,65,10,9323,O,O
USA,1,2015,20,b,75,10,11876,O,O
USA,1,2015,20,b,85,+,15605,O,O
USA,1,2015,20,b,TOT,.,50771,O,O
USA,1,2015,21,b,0,25,1243,O,O
USA,1,2015,21,b,25,20,2344,O,O
USA,1,2015,21,b,45,20,9804,O,O
USA,1,2015,21,b,65,10,9032,O,O
USA,1,2015,21,b,75,10,11503,O,O
USA,1,2015,21,b,85,+,15502,O,O
USA,1,2015,21,b,TOT,.,49428,O,O
USA,1,2015,22,b,0,25,1223,O,O
USA,1,2015,22,b,25,20,2318,O,O
USA,1,2015,22,b,45,20,9962,O,O
USA,1,2015,22,b,65,10,9208,O,O
USA,1,2015,22,b,75,10,11587,O,O
USA,1,2015,22,b,85,+,15518,O,O
USA,1,2015,22,b,TOT,.,49816,O,O
USA,1,2015,23,b,0,25,1213,O,O
USA,1,2015,23,b,25,20,2405,O,O
USA,1,2015,23,b,45,20,9910,O,O
USA,1,2015,23,b,65,10,8900,O,O
USA,1,2015,23,b,75,10,11509,O,O
USA,1,2015,23,b,85,+,15195,O,O
USA,1,2015,23,b,TOT,.,49132,O,O
USA,1,2015,24,b,0,25,1306,O,O
USA,1,2015,24,b,25,20,2482,O,O
USA,1,2015,24,b,45,20,10015,O,O
USA,1,2015,24,b,65,10,9156,O,O
USA,1,2015,24,b,75,10,11656,O,O
USA,1,2015,24,b,85,+,15230,O,O
USA,1,2015,24,b,TOT,.,49845,O,O
USA,1,2015,25,b,0,25,1354,O,O
USA,1,2015,25,b,25,20,2407,O,O
USA,1,2015,25,b,45,20,10087,O,O
USA,1,2015,25,b,65,10,8972,O,O
USA,1,2015,25,b,75,10,11281,O,O
USA,1,2015,25,b,85,+,15121,O,O
USA,1,2015,25,b,TOT,.,49222,O,O
USA,1,2015,26,b,0,25,1287,O,O
USA,1,2015,26,b,25,20,2389,O,O
USA,1,2015,26,b,45,20,10067,O,O
USA,1,2015,26,b,65,10,9097,O,O
USA,1,2015,26,b,75,10,11312,O,O
USA,1,2015,26,b,85,+,15017,O,O
USA,1,2015,26,b,TOT,.,49169,O,O
USA,1,2015,27,b,0,25,1320,O,O
USA,1,2015,27,b,25,20,2438,O,O
USA,1,2015,27,b,45,20,10004,O,O
USA,1,2015,27,b,65,10,8997,O,O
USA,1,2015,27,b,75,10,11490,O,O
USA,1,2015,27,b,85,+,15085,O,O
USA,1,2015,27,b,TOT,.,49334,O,O
USA,1,2015,28,b,0,25,1255,O,O
USA,1,2015,28,b,25,20,2528,O,O
USA,1,2015,28,b,45,20,9961,O,O
USA,1,2015,28,b,65,10,9037,O,O
USA,1,2015,28,b,75,10,11283,O,O
USA,1,2015,28,b,85,+,14955,O,O
USA,1,2015,28,b,TOT,.,49019,O,O
USA,1,2015,29,b,0,25,1274,O,O
USA,1,2015,29,b,25,20,2401,O,O
USA,1,2015,29,b,45,20,9943,O,O
USA,1,2015,29,b,65,10,9129,O,O
USA,1,2015,29,b,75,10,11535,O,O
USA,1,2015,29,b,85,+,15062,O,O
USA,1,2015,29,b,TOT,.,49344,O,O
USA,1,2015,30,b,0,25,1259,O,O
USA,1,2015,30,b,25,20,2353,O,O
USA,1,2015,30,b,45,20,9798,O,O
USA,1,2015,30,b,65,10,8905,O,O
USA,1,2015,30,b,75,10,11290,O,O
USA,1,2015,30,b,85,+,15050,O,O
USA,1,2015,30,b,TOT,.,48655,O,O
USA,1,2015,31,b,0,25,1248,O,O
USA,1,2015,31,b,25,20,2473,O,O
USA,1,2015,31,b,45,20,9900,O,O
